54	|	17434	|	1743	|	15734	|	1573
20	|	4171	|	417	|	17756	|	1776
19	|	1185	|	118	|	5850	|	585
13	|	0	|	0	|	0	|	0
76	|	3266	|	327	|	1819	|	182
78	|	3097	|	310	|	1790	|	179
43	|	28956	|	2896	|	31937	|	3194
25	|	40089	|	4009	|	52723	|	5272
59	|	13259	|	1326	|	10793	|	1079
2	|	0	|	0	|	0	|	0
44	|	28033	|	2803	|	29384	|	2938
69	|	6270	|	627	|	4393	|	439
50	|	20937	|	2094	|	20351	|	2035
34	|	45646	|	4565	|	42963	|	4296
8	|	0	|	0	|	0	|	0
48	|	22878	|	2288	|	23606	|	2361
64	|	9259	|	926	|	6564	|	656
6	|	0	|	0	|	0	|	0
53	|	18706	|	1871	|	16914	|	1691
18	|	114	|	11	|	618	|	62
62	|	11192	|	1119	|	8788	|	879
10	|	0	|	0	|	0	|	0
38	|	36870	|	3687	|	38283	|	3828
24	|	33010	|	3301	|	53051	|	5305
21	|	9314	|	931	|	34550	|	3455
9	|	0	|	0	|	0	|	0
5	|	0	|	0	|	0	|	0
65	|	8641	|	864	|	6135	|	614
52	|	19241	|	1924	|	17770	|	1777
29	|	53814	|	5381	|	49922	|	4992
71	|	5383	|	538	|	3714	|	371
40	|	33634	|	3363	|	35997	|	3600
67	|	8091	|	809	|	5607	|	561
32	|	49893	|	4989	|	45684	|	4568
36	|	40608	|	4061	|	40878	|	4088
51	|	20624	|	2062	|	19276	|	1928
70	|	5669	|	567	|	4033	|	403
14	|	0	|	0	|	0	|	0
31	|	51387	|	5139	|	45935	|	4594
11	|	0	|	0	|	0	|	0
27	|	49459	|	4946	|	50416	|	5042
55	|	16474	|	1647	|	14288	|	1429
60	|	12800	|	1280	|	10083	|	1008
79	|	3008	|	301	|	1733	|	173
26	|	46724	|	4672	|	51588	|	5159
47	|	24893	|	2489	|	25871	|	2587
46	|	25532	|	2553	|	26963	|	2696
57	|	14419	|	1442	|	12126	|	1213
42	|	30145	|	3014	|	33469	|	3347
74	|	3649	|	365	|	2339	|	234
56	|	15828	|	1583	|	12628	|	1263
3	|	0	|	0	|	0	|	0
30	|	53098	|	5310	|	48369	|	4837
17	|	0	|	0	|	0	|	0
49	|	22585	|	2258	|	22071	|	2207
77	|	3081	|	308	|	1976	|	198
58	|	13692	|	1369	|	11480	|	1148
33	|	47557	|	4756	|	44125	|	4412
39	|	34852	|	3485	|	36257	|	3626
45	|	26672	|	2667	|	27647	|	2765
41	|	32325	|	3232	|	33894	|	3389
16	|	0	|	0	|	0	|	0
4	|	0	|	0	|	0	|	0
22	|	16356	|	1636	|	45985	|	4598
63	|	9630	|	963	|	7275	|	728
12	|	0	|	0	|	0	|	0
28	|	52645	|	5264	|	49687	|	4969
66	|	8128	|	813	|	5573	|	557
1	|	0	|	0	|	0	|	0
7	|	0	|	0	|	0	|	0
23	|	24802	|	2480	|	50848	|	5085
75	|	3503	|	350	|	2111	|	211
72	|	4532	|	453	|	2807	|	281
37	|	38789	|	3879	|	38701	|	3870
73	|	4062	|	406	|	2848	|	285
0	|	0	|	0	|	0	|	0
35	|	42951	|	4295	|	41312	|	4131
68	|	7412	|	741	|	4923	|	492
61	|	12317	|	1232	|	9624	|	962
15	|	0	|	0	|	0	|	0
