epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.84381505334374185,2.5168419763554422,0.86250000000000004,2.2162381482124336
1,0.84389637002341922,2.5160985394688034,0.81374999999999997,3.0019952917099011
2,0.84389637002341922,2.5160918020811236,0.85124999999999995,2.3975667262077338
3,0.84389637002341922,2.5160918020656138,0.85875000000000001,2.2766810083389295
4,0.84389637002341922,2.5160918020656138,0.85624999999999996,2.3169762563705452
5,0.84386384335154829,2.5166103547512169,0.83374999999999999,2.6796333885192887
6,0.8438801066874837,2.5163510783929053,0.85624999999999996,2.3169762420654307
7,0.84391263335935462,2.515829668081027,0.83499999999999996,2.6594857668876659
8,0.84387197501951605,2.5164807165720608,0.82874999999999999,2.760223870277406
9,0.84384758001561277,2.5168682022265956,0.85999999999999999,2.2565333914756796
10,0.84388823835545146,2.5162214402292595,0.84999999999999998,2.4177143454551713
11,0.84387197501951605,2.5164792877821882,0.85999999999999999,2.2565333938598644
12,0.84387197501951605,2.5164807165875711,0.84999999999999998,2.4177143383026127
13,0.84387197501951605,2.5164792877201485,0.83125000000000004,2.7199286246299756
14,0.84389637002341922,2.5160918020656138,0.86750000000000005,2.1356476688385029
15,0.84390450169138698,2.515962163901968,0.83999999999999997,2.5788952922821058
16,0.8438801066874837,2.5163561814531756,0.86124999999999996,2.2363857793807997
